nome,codigo,0-19,20-39,40-59,60-79,80+
Portugal Continental,1,1785330,2186070,2901221,2378202,701078
Alto Minho,111,36651,46409,65295,63148,20552
Cávado,112,78479,100112,129428,90808,22784
Ave,119,73176,96154,129223,97942,22994
Área Metropolitana do Porto,11A,310504,402384,530750,417215,104125
Alto Tâmega,11B,11022,13642,21765,27680,9528
Tâmega e Sousa,11C,74224,96785,126546,89636,21212
Douro,11D,27511,34783,52401,52472,16460
Terras de Trás-os-Montes,11E,14341,19520,27923,33029,12160
Oeste,16B,68759,80437,109317,89477,26677
Região de Aveiro,16D,65677,82929,110469,89643,25819
Região de Coimbra,16E,70056,87405,126519,116919,39109
Região de Leiria,16F,50566,61486,83787,71743,22668
Viseu Dão Lafões,16G,41515,50107,70519,68660,22865
Beira Baixa,16H,11562,14383,21609,23796,9658
Médio Tejo,16I,37542,44610,64131,61417,23305
Beiras e Serra da Estrela,16J,29263,37350,55937,63098,23790
Área Metropolitana de Lisboa,170,572830,672477,836076,627750,182528
Alentejo Litoral,181,16006,22247,27241,24966,8252
Baixo Alentejo,184,20404,22841,32192,29749,10269
Lezíria do Tejo,185,43763,49964,69907,58841,19581
Alto Alentejo,186,17365,19303,28977,27797,11140
Alentejo Central,187,26211,30567,43970,38188,14249
Algarve,150,87924,100199,137262,114248,31363
Ilha de Santa Maria,41,1106,1375,1640,1127,241
Ilha de São Miguel,42,29438,36299,41415,23609,4485
Ilha Terceira,43,10062,13226,16002,11769,2487
Ilha Graciosa,44,794,961,1160,933,265
Ilha de São Jorge,45,1503,1905,2571,1936,556
Ilha do Pico,46,2556,3252,4322,3196,856
Ilha do Faial,47,2672,3273,4572,3246,667
Ilha das Flores,48,597,825,1139,765,175
Ilha do Corvo,49,70,99,155,83,20
Ilha da Madeira,31,45121,54624,79066,55710,13181
Ilha de Porto Santo,32,904,1159,1769,1239,211
