nome,codigo,0-19,20-39,40-59,60-79,80+
Portugal Continental,1,1785351,2186094,2901244,2378222,701088
Alto Minho,111,36651,46409,65295,63148,20552
Cávado,112,78479,100112,129428,90808,22784
Ave,119,73176,96154,129223,97942,22994,419489
Área Metropolitana do Porto,11A,310504,402384,530750,417215,104125
Alto Tâmega,11B,11022,13642,21765,27680,9528
Tâmega e Sousa,11C,74224,96785,126546,89636,21212
Douro,11D,27511,34783,52401,52472,16460
Terras de Trás-os-Montes,11E,14341,19520,27923,33029,12160
Oeste,16B,68759,80437,109317,89477,26677
Região de Aveiro,16D,65677,82929,110469,89643,25819
Região de Coimbra,16E,70056,87405,126519,116919,39109
Região de Leiria,16F,50566,61486,83787,71743,22668
Viseu Dão Lafões,16G,41515,50107,70519,68660,22865
Beira Baixa,16H,11562,14383,21609,23796,9658
Médio Tejo,16I,37542,44610,64131,61417,23305
Beiras e Serra da Estrela,16J,29263,37350,55937,63098,23790
Área Metropolitana de Lisboa,170,572830,672477,836076,627750,182528
Alentejo Litoral,181,16006,22247,27241,24966,8252
Baixo Alentejo,184,20404,22841,32192,29749,10269
Lezíria do Tejo,185,43763,49964,69907,58841,19581
Alto Alentejo,186,17365,19303,28977,27797,11140
Alentejo Central,187,26211,30567,43970,38188,14249
Algarve,150,87924,100199,137262,114248,31363
