nome,codigo,0-19,20-39,40-59,60-79,80+
Portugal,PT,55299,67738,89855,212892,21301
Alto Minho,111,36651,46409,65295,148355,20552
Cávado,112,78479,100112,129428,308019,22784
Ave,119,73176,96154,129223,298553,22994
Área Metropolitana do Porto,11A,310504,402384,530750,1243638,104125
Alto Tâmega,11B,11022,13642,21765,46429,9528
Tâmega e Sousa,11C,74224,96785,126546,297555,21212
Douro,11D,27511,34783,52401,114695,16460
Terras de Trás-os-Montes,11E,14341,19520,27923,61784,12160
Oeste,16B,68759,80437,109317,258513,26677
Região de Aveiro,16D,65677,82929,110469,259075,25819
Região de Coimbra,16E,70056,87405,126519,283980,39109
Região de Leiria,16F,50566,61486,83787,195839,22668
Viseu Dão Lafões,16G,41515,50107,70519,162141,22865
Beira Baixa,16H,11562,14383,21609,47554,9658
Médio Tejo,16I,37542,44610,64131,146283,23305
Beiras e Serra da Estrela,16J,29263,37350,55937,122550,23790
Área Metropolitana de Lisboa,170,572830,672477,836076,2081383,182528
Alentejo Litoral,181,16006,22247,27241,65494,8252
Baixo Alentejo,184,20404,22841,32192,75437,10269
Lezíria do Tejo,185,43763,49964,69907,163634,19581
Alto Alentejo,186,17365,19303,28977,65645,11140
Alentejo Central,187,26211,30567,43970,100748,14249
Algarve,150,87924,100199,137262,325385,31363
Ilha de Santa Maria,41,1106,1375,1640,4121,241
Ilha de São Miguel,42,29438,36299,41415,107152,4485
Ilha Terceira,43,10062,13226,16002,39290,2487
Ilha Graciosa,44,794,961,1160,2915,265
Ilha de São Jorge,45,1503,1905,2571,5979,556
Ilha do Pico,46,2556,3252,4322,10130,856
Ilha do Faial,47,2672,3273,4572,10517,667
Ilha das Flores,48,597,825,1139,2561,175
Ilha do Corvo,49,70,99,155,324,20
Ilha da Madeira,31,45121,54624,79066,178811,13181
Ilha de Porto Santo,32,904,1159,1769,3832,211
